#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-20T01:41:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-20T01:41:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/239/hip_main&-out.max=2000&-c.eq=J2000&-out=HIP,_RAJ2000,_DEJ2000,Vmag&Vmag=0..6.5	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
HIP	_RAJ2000	_DEJ2000	Vmag
  7679	024.7157870596	-21.2753842231	 5.58
  7719	024.8375096918	+44.3861646068	 5.01
  7740	024.9200752035	+16.4058578527	 5.98
  7751	024.9480959350	-56.1964001706	 5.76
  7786	025.0545877336	+53.8682776865	 6.35
  7818	025.1450707352	+40.5770491219	 4.96
  7819	025.1455278720	+08.7607693808	 6.34
  7825	025.1652058849	+43.2976869223	 5.63
  7874	025.3265628697	+25.7457124962	 6.20
  7879	025.3394593212	-79.1481999508	 6.33
  7884	025.3578926391	+05.4876132243	 4.45
  7886	025.3638397319	-38.1328267492	 6.20
  7906	025.4134862560	+30.0471196214	 5.97
  7916	025.4368076769	-11.3246688440	 5.75
  7918	025.4464290287	+42.6133690014	 4.96
  7921	025.4498645592	-60.7893395061	 5.70
  7941	025.5124742739	-36.8323048002	 5.70
  7943	025.5145427603	+35.2457070881	 5.63
  7955	025.5358082569	-32.3269702461	 5.25
  7963	025.5737640027	+58.6277387208	 6.35
  7965	025.5855301397	+68.0430211077	 5.57
  7978	025.6221487541	-53.7408340626	 5.52
  7981	025.6240080398	+20.2685044499	 5.24
  7999	025.6812920465	-03.6902004825	 4.98
  8016	025.7327650258	+70.6225257050	 5.18
  8020	025.7430005858	+61.4210730972	 6.33
  8044	025.8187659698	+45.3226487076	 6.33
  8046	025.8323066665	+60.5513325558	 5.78
  8068	025.9151560831	+50.6887324687	 4.01
  8086	025.9589341987	+32.1920147342	 6.32
  8094	025.9783170331	-04.7655144954	 6.20
  8102	026.0170121377	-15.9374800618	 3.49
  8115	026.0748526166	+57.5366168119	 6.18
  8127	026.1105292296	+46.1396916858	 6.32
  8143	026.1819867050	-06.7661640621	 6.45
  8148	026.1923764895	+57.0892260022	 6.25
  8159	026.2326025945	+20.0831495237	 6.27
  8198	026.3484606443	+09.1577357873	 4.26
  8209	026.4114880403	-25.0526099530	 5.29
  8230	026.4969185352	-05.7332991232	 5.37
  8233	026.5044111656	-27.3488311764	 6.38
  8240	026.5248596790	-50.8162555831	 5.49
  8241	026.5260956168	-53.5220371489	 5.04
  8320	026.8195976063	-41.7599262346	 6.18
  8362	026.9368113515	+63.8525011404	 5.63
  8366	026.9435172066	-80.1763110972	 6.05
  8369	026.9490363903	-37.1594829867	 6.33
  8370	026.9500568239	+46.2297496555	 6.33
  8387	027.0455698662	+16.9555507945	 5.86
  8404	027.1084103156	+03.6854466122	 5.91
  8423	027.1621859200	+37.9528701073	 5.94
  8433	027.1731799726	+32.6902097748	 5.78
  8475	027.3147662390	+47.8969238958	 6.01
  8480	027.3309193061	-31.0724634253	 6.35
  8497	027.3962613128	-10.6864103544	 4.66
  8514	027.4536006032	-38.4027966340	 6.37
  8544	027.5357135175	+22.2753382493	 5.83
  8552	027.5840893113	-47.8163916505	 6.14
  8588	027.7165532203	+11.0433782333	 5.92
  8593	027.7268124801	-50.2061375812	 5.94
  8598	027.7380310934	+51.9334173607	 5.96
  8641	027.8598208714	-39.8359351047	 6.44
  8645	027.8651399714	-10.3350377183	 3.74
  8664	027.9075002509	-06.8741426829	 6.42
  8688	027.9420770234	-15.6474803971	 6.44
  8704	027.9971674124	+55.1473847379	 5.53
  8714	028.0390459804	+50.7927938816	 5.70
  8771	028.2113516002	+51.4748364050	 6.28
  8778	028.2171368415	-16.9292497530	 5.78
  8796	028.2704495432	+29.5788292735	 3.42
  8814	028.3222688589	+40.7297896046	 5.42
  8820	028.3465531482	-38.5946316965	 6.09
  8832	028.3825596071	+19.2938517718	 3.88
  8833	028.3889599991	+03.1875365303	 4.61
  8837	028.4114237071	-46.3026686082	 4.39
  8847	028.4521373763	+55.5976394212	 6.44
  8882	028.5918048140	-42.4969499219	 5.12
  8886	028.5988563177	+63.6701015057	 3.35
  8903	028.6600381563	+20.8080350454	 2.64
  8922	028.7240987061	+40.7020344298	 6.25
  8928	028.7338809088	-67.6473032955	 4.68
  8930	028.7402527860	+37.1282901390	 6.28
  8957	028.8318365527	-60.3124840999	 6.43
  8983	028.9436791308	-60.8609751618	 6.07
  8991	028.9606176239	-78.3485484664	 6.15
  8993	028.9626655324	+23.5773215867	 5.76
  8998	028.9742994080	+01.8499818850	 6.01
  9001	028.9770023642	+37.2777856904	 5.89
  9007	028.9894682891	-51.6088958630	 3.69
  9009	029.0001081602	+68.6852418007	 4.97
  9021	029.0390162192	+37.2518296167	 5.69
  9022	029.0392014852	-49.8364458722	 6.37
  9061	029.1674915410	-22.5267849084	 4.92
  9085	029.2499371852	-51.7662439887	 6.10
  9094	029.2900265984	-10.2424274783	 6.42
  9095	029.2920019573	-47.3852773248	 4.82
  9110	029.3377267371	+17.8175317715	 5.09
  9132	029.4322673305	+27.8043808104	 5.84
  9149	029.4722322300	-65.4247000685	 6.36
  9153	029.4821549167	+23.5960609783	 4.79
  9163	029.4968176558	+47.0955205237	 6.48
  9207	029.6111726023	-33.0667870131	 6.37
  9220	029.6384740748	+61.6977885873	 6.02
  9222	029.6396050576	+49.2043522118	 5.70
  9236	029.6924730295	-61.5698591001	 2.86
  9237	029.6916577302	-11.3009553712	 6.46
  9295	029.8578550121	+12.2948758308	 6.09
  9307	029.8986800037	+21.0585697311	 5.89
  9312	029.9084923846	+64.6216019468	 5.29
  9313	029.9117273818	-42.0305318821	 5.57
  9318	029.9213691471	-66.0665581604	 6.09
  9326	029.9424978858	-20.8245385455	 5.43
  9347	030.0012831695	-21.0778315512	 3.99
  9353	030.0381657207	+03.0970149921	 5.89
  9372	030.1117625766	-08.5238731183	 5.43
  9440	030.3113463770	-30.0018302498	 5.34
  9459	030.4265677756	-44.7135089568	 5.15
  9480	030.4893861211	+70.9070200669	 4.49
  9487	030.5117502974	+02.7637594592	 3.82
  9505	030.5754505563	+54.4875411960	 4.99
  9521	030.6177671862	-29.6656421311	 6.40
  9533	030.6461575000	+13.4767159515	 5.97
  9562	030.7155650496	-23.8866284550	 6.30
  9564	030.7186521831	+64.9014658368	 6.00
  9568	030.7376130960	+77.9162632343	 6.04
  9570	030.7414821090	+33.2841351037	 5.50
  9572	030.7440378008	-15.3059320583	 5.87
  9573	030.7507803093	+64.3900181504	 5.59
  9586	030.7935427698	+73.8505699122	 6.12
  9589	030.7985414581	+00.1285068103	 5.42
  9598	030.8587723276	+72.4212943315	 3.95
  9621	030.9139330886	+25.9354713209	 5.64
  9622	030.9187012216	-04.1035162929	 5.61
  9627	030.9275347517	+18.2532379487	 6.24
  9631	030.9507138563	-00.3402508426	 5.96
  9640	030.9748044652	+42.3297247262	 2.10
  9655	031.0519510057	-11.8597701191	 6.43
  9677	031.1226603450	-29.2968189031	 4.68
  9685	031.1463285998	-54.8816890529	 6.45
  9706	031.2125418080	+07.7356640267	 6.44
  9727	031.2809226421	+77.2813409384	 5.27
  9763	031.3814506441	+76.1150604779	 5.22
  9809	031.5510967136	+08.2481142771	 6.27
  9827	031.6221171288	+00.0353843214	 6.29
  9836	031.6413561858	+22.6483169289	 5.03
  9859	031.7051457524	+25.7045534897	 6.01
  9862	031.7168864777	-19.1388690043	 6.39
  9884	031.7933629325	+23.4624231271	 2.01
  9951	032.0236866682	-41.8804200723	 6.50
  9977	032.1219157883	+37.8590772996	 4.78
  9983	032.1398315876	+44.4594285803	 6.38
  9990	032.1690823838	+58.4236009282	 5.66
  9999	032.1902542082	-17.7791554917	 6.07
 10035	032.2887189232	-43.5165958591	 5.84
 10050	032.3462933295	+17.2241961773	 6.40
 10053	032.3555680816	+25.9398922285	 4.98
 10054	032.3554691002	+81.2959455095	 6.05
 10064	032.3859452156	+34.9872969316	 3.00
 10069	032.3950056684	-24.3457850962	 6.48
 10096	032.4519557519	-40.8665006917	 6.49
 10111	032.5200452582	-43.8155744400	 6.32
 10115	032.5322967089	+53.8430915033	 6.31
 10138	032.6080596028	-50.8237244318	 6.12
 10155	032.6566538865	+19.5003376418	 5.68
 10176	032.7201183370	+39.0395258344	 6.09
 10203	032.8002271803	+25.9369384776	 6.01
 10212	032.8378300905	+08.5698049046	 5.64
 10215	032.8426102114	-10.0521620196	 6.00
 10220	032.8542619006	+31.5263977655	 6.24
 10227	032.8716397899	+57.6455435793	 6.38
 10234	032.8993124337	-01.8254294517	 5.94
 10273	033.0656978615	+02.7455513212	 6.49
 10280	033.0928344862	+30.3030666358	 4.94
 10296	033.1564117314	+24.1677782961	 5.96
 10305	033.1980907890	-02.3936372247	 5.65
 10306	033.2003563390	+21.2109930718	 5.23
 10309	033.2079558550	+79.6915396685	 6.46
 10320	033.2269602759	-30.7238251415	 5.27
 10324	033.2499812489	+08.8467173000	 4.36
 10326	033.2541134923	-21.0001375548	 5.86
 10328	033.2637718323	+15.2798595440	 5.72
 10340	033.3055168597	+44.2316519640	 4.84
 10350	033.3381045223	+74.0277207822	 6.25
 10361	033.3896306526	+53.0585887087	 6.50
 10366	033.4014258781	+51.0658182977	 5.31
 10379	033.4233805972	+58.5605861375	 6.43
 10396	033.4731432327	-09.0646305107	 6.43
 10403	033.5102406714	+47.4842412132	 6.05
 10418	033.5605902887	-67.8414410108	 5.57
 10438	033.6212232791	+66.5244285361	 6.05
 10440	033.6331063570	-41.1667645761	 5.91
 10446	033.6582570443	+28.6911848497	 6.35
 10513	033.8692693995	-67.7463658963	 5.67
 10535	033.9282387058	+25.0430434526	 5.57
 10540	033.9418753387	+25.7829374289	 5.79
 10559	033.9845197174	+33.3588950740	 5.25
 10562	033.9905544346	+47.8119375257	 6.37
 10602	034.1274389403	-51.5121646786	 3.56
 10623	034.1898918255	+83.5614142075	 6.45
 10633	034.2154843976	+57.0552457885	 6.48
 10642	034.2460175327	-06.4221161993	 5.51
 10644	034.2634586889	+34.2242311090	 4.84
 10670	034.3286135903	+33.8471935802	 4.03
 10718	034.4995319950	+57.8998205997	 5.75
 10723	034.5059994878	+01.7578018748	 5.60
 10729	034.5191036239	+57.5163213407	 5.99
 10732	034.5314018503	+19.9011635375	 5.58
 10793	034.7374720308	+28.6426740128	 5.29
 10795	034.7414444755	+23.1678152615	 6.45
 10798	034.7437688285	-25.9456873226	 6.33
 10814	034.7950980771	+46.4722606176	 6.21
 10819	034.8199829618	+47.3799730906	 5.31
 10826	034.8366361716	-02.9776426194	 6.47
 10830	034.8444911488	+48.9554634046	 6.44
 10832	034.8531933176	-41.8483675881	 6.36
 10854	034.9199053982	-04.3455729607	 6.50
 10871	034.9761291768	-55.9447962143	 5.81
 10924	035.1729732221	+47.3108039051	 6.17
 10944	035.2425343993	+50.1514656537	 5.57
 11001	035.4372614333	-68.6594181149	 4.08
 11020	035.4809796995	+57.2429156521	 6.40
 11021	035.4859466755	+00.3956754779	 5.29
 11029	035.5063819863	-10.7775336180	 5.43
 11033	035.5207612882	-17.6621693339	 5.89
 11043	035.5489619477	-43.1998114320	 6.30
 11046	035.5516523885	-00.8848521269	 5.42
 11060	035.5893105485	+55.8456534776	 5.16
 11072	035.6356115921	-23.8163260893	 5.19
 11090	035.7096014363	+41.3962973031	 5.81
 11095	035.7179379642	-73.6457921911	 5.99
 11102	035.7278120757	-51.0921288190	 5.90
 11108	035.7401171116	-18.3549824658	 6.22
 11121	035.7774897866	-37.5761444133	 6.47
 11174	035.9656021310	+55.3648611260	 6.29
 11212	036.0838230672	-25.8474592466	 6.45
 11220	036.1038177751	+50.0065461904	 5.19
 11231	036.1411793114	-40.8404584392	 6.17
 11249	036.2044013618	+10.6105649844	 5.48
 11258	036.2246281076	-60.3119475195	 5.36
 11261	036.2432881772	-02.7800308044	 6.34
 11279	036.3167864476	+56.6098226301	 6.25
 11293	036.3602252672	-66.4940256890	 6.39
 11313	036.4059279119	+50.2786310015	 4.73
 11345	036.4875219806	-12.2904796354	 4.88
 11348	036.5014551927	-15.3412467359	 5.88
 11381	036.6467401187	-20.0426169357	 5.89
 11407	036.7463429361	-47.7038401422	 4.24
 11415	036.7801550634	+27.0123948922	 6.14
 11427	036.8474545001	+10.1983264053	 6.45
 11432	036.8657154363	+31.8012802269	 5.55
 11465	036.9657418000	+50.5699744619	 6.16
 11474	036.9996981860	+01.9608458275	 6.45
 11477	037.0070960834	-33.8110390433	 5.13
 11479	037.0182720454	-64.2997683620	 6.35
 11484	037.0397603783	+08.4600535542	 4.30
 11486	037.0415850021	+29.6693304675	 5.29
 11524	037.1476281487	-31.1024448194	 6.11
 11548	037.2020610509	+29.9317602838	 5.89
 11569	037.2664408058	+67.4024739263	 4.46
 11578	037.3070072156	+23.4690265023	 6.20
 11603	037.3973213913	+09.5656292454	 6.09
 11644	037.5571902230	-25.1864420341	 6.50
 11651	037.5691992259	+33.8337072496	 6.26
 11670	037.6348080300	+25.2350364195	 5.88
 11671	037.6366437864	-22.5453184394	 6.17
 11678	037.6600755383	+19.8553006640	 6.14
 11687	037.6883461943	+00.2557490765	 6.00
 11698	037.7266599313	+17.7038559315	 6.21
 11738	037.8753984585	+02.2671816122	 5.27
 11757	037.9189341517	-79.1093818558	 5.27
 11767	037.9545153525	+89.2641095074	 1.97
 11783	038.0217846062	-15.2446768027	 4.74
 11784	038.0257102664	+36.1472712539	 5.15
 11791	038.0392536627	-01.0348961142	 5.36
 11802	038.0615072576	-36.4273074879	 6.28
 11840	038.2192471333	+34.5424097046	 5.84
 11843	038.2255855614	+15.0345542332	 6.00
 11867	038.2792773608	-34.6499668742	 5.91
 11907	038.4175948455	-20.0019210741	 6.19
 11918	038.4612666915	-28.2323435028	 4.96
 11925	038.4775399458	-51.0935463637	 6.24
 12002	038.6776048314	-07.8594451493	 5.74
 12022	038.7672241982	+07.4709931001	 6.17
 12057	038.8662509956	+39.6643805422	 6.36
 12072	038.9114235291	+37.3122628403	 5.72
 12086	038.9450472682	+34.6875584455	 5.38
 12093	038.9686336453	+05.5932463106	 4.87
 12107	039.0002012980	-07.8315971676	 5.53
 12114	039.0203907860	+06.8868702861	 5.79
 12122	039.0386071050	-30.0449776357	 5.74
 12148	039.1461275246	+07.7300260579	 5.81
 12153	039.1579819683	+12.4476387097	 5.64
 12160	039.1793047533	+31.6076671723	 6.07
 12181	039.2382816917	+38.7335809125	 5.91
 12186	039.2441996467	-34.5779769400	 5.78
 12189	039.2521821585	+24.6472221643	 6.48
 12200	039.2773754377	+32.8910918578	 6.23
 12225	039.3515483951	-52.5430858971	 5.30
 12239	039.4002825823	+65.7453362394	 5.80
 12247	039.4241678067	-03.3961747360	 5.65
 12272	039.5031389778	+07.6952756590	 6.40
 12273	039.5084627234	+72.8182516571	 5.17
 12287	039.5742916416	+37.7267150722	 6.19
 12288	039.5777594278	-30.1940625279	 5.84
 12300	039.6034780053	-37.9905451331	 6.48
 12305	039.6164719311	+38.0891413950	 6.29
 12318	039.6533495054	+03.4432047886	 6.21
 12332	039.7041438953	+21.9614083400	 5.45
 12387	039.8706529878	+00.3285106507	 4.08
 12390	039.8909760685	-11.8721559543	 4.83
 12394	039.8973389983	-68.2669462379	 4.12
 12413	039.9499694470	-42.8916699081	 4.74
 12444	040.0517576472	-09.4528750103	 5.79
 12447	040.0653875336	+06.1119435582	 6.26
 12484	040.1650535960	-54.5499114838	 5.21
 12486	040.1668101011	-39.8553755006	 4.11
 12489	040.1711478762	+27.0609427000	 5.30
 12530	040.3083273551	-00.6956530186	 5.72
 12562	040.3922041802	-14.5492759492	 5.98
 12584	040.4513600944	-03.2138071133	 6.07
 12608	040.5275283906	-38.3836863243	 5.99
 12611	040.5351821102	-46.5244412014	 6.09
 12623	040.5621499165	+40.1939438140	 4.91
 12640	040.5914153993	+20.0114649000	 5.74
 12647	040.6205649983	+10.7417246479	 6.32
 12653	040.6394436627	-50.8002938409	 5.40
 12686	040.7480145020	+53.5261051998	 5.85
 12690	040.7577371478	+48.2652452735	 6.30
 12692	040.7618255226	+55.1060192905	 5.76
 12706	040.8251624954	+03.2358185331	 3.47
 12708	040.8343141225	-40.5279053349	 6.35
 12717	040.8608776019	-66.7142518261	 6.23
 12719	040.8629699462	+27.7071465474	 4.65
 12720	040.8704768374	-02.5314523226	 6.48
 12744	040.9635169108	+25.6383426658	 6.35
 12768	041.0214990318	+44.2970400222	 5.43
 12770	041.0306245840	-13.8586963567	 4.24
 12775	041.0440540622	-52.5705969350	 6.15
 12777	041.0499431304	+49.2284477306	 4.10
 12784	041.0796357934	+17.7639278904	 6.40
 12786	041.0855737729	-32.5247153507	 6.21
 12803	041.1373907808	+15.3118615304	 5.78
 12821	041.2070713931	+67.8246301454	 5.95
 12828	041.2355930728	+10.1141459004	 4.27
 12832	041.2399230607	+12.4457609787	 5.17
 12843	041.2757712945	-18.5725625875	 4.47
 12862	041.3371092306	+04.7116292460	 6.04
 12871	041.3644922048	-63.7045529332	 5.73
 12876	041.3859769412	-67.6166170064	 4.83
 12964	041.6879351150	-21.6395215093	 6.48
 12982	041.7430072867	+35.9835231675	 6.27
 12990	041.7648945868	+35.5546802883	 6.28
 13008	041.7963696838	-22.4857500740	 6.47
 13036	041.8798088590	+44.2721984776	 6.45
 13055	041.9487846285	+81.4484754743	 5.80
 13061	041.9772528693	+29.2471181827	 4.52
 13108	042.1337052134	+18.2837905193	 5.83
 13121	042.1912677077	+25.1880636922	 5.89
 13133	042.2312935341	+69.6342896429	 6.26
 13141	042.2561983617	-62.8065215344	 5.25
 13147	042.2725814769	-32.4058976686	 4.45
 13165	042.3231663802	+17.4643089696	 5.26
 13176	042.3621353113	+37.3264113379	 6.45
 13178	042.3780679712	+57.0843178012	 6.25
 13197	042.4623418800	-24.5603107801	 6.14
 13202	042.4757576528	-27.9419815559	 5.39
 13209	042.4959681206	+27.2605070614	 3.61
 13225	042.5615997575	-35.8436365525	 5.92
 13244	042.6185832808	-75.0669471423	 4.76
 13254	042.6460820425	+38.3186436423	 4.22
 13257	042.6470506142	+36.9483282253	 6.44
 13265	042.6683612894	-35.6758487893	 5.48
 13268	042.6742086815	+55.8954961055	 3.77
 13271	042.6991957392	-39.9322239844	 6.36
 13288	042.7596731016	-21.0040193201	 4.76
 13327	042.8732784797	+15.0820706523	 5.52
 13328	042.8784897451	+35.0597409764	 4.56
 13339	042.9238751195	+46.8419394532	 5.86
 13347	042.9411690011	+58.3142916209	 6.46
 13363	042.9843581712	-30.8145199527	 6.38
 13367	042.9947985562	+68.8884969724	 5.94
 13387	043.0792730151	-62.9095829800	 6.03
 13402	043.1338696884	-12.7697144000	 6.05
 13421	043.2114130063	-09.4412360613	 6.31
 13424	043.2167771085	+52.9973527940	 6.35
 13429	043.2276612306	-65.4552907349	 6.47
 13448	043.2987302340	+16.4834595579	 6.30
 13462	043.3377997132	+48.5699549899	 6.23
 13473	043.3933211746	-38.4370036847	 5.93
 13479	043.3971789170	-22.3763075594	 5.93
 13490	043.4275566217	+38.3374883899	 5.34
 13518	043.5269575615	-50.8714018328	 6.22
 13531	043.5644190069	+52.7624788996	 3.93
 13654	043.9520742112	+18.3316398304	 5.76
 13665	043.9871690514	+61.5211377663	 5.59
 13679	044.0573736081	+08.3815634033	 5.97
 13700	044.1027098085	+64.3324418151	 6.17
 13701	044.1068736785	-08.8981444579	 3.89
 13702	044.1089786662	+18.0231188559	 5.58
 13713	044.1387586219	+47.1640065221	 6.05
 13717	044.1559343849	-03.7123198774	 5.16
 13732	044.2110829177	+51.2612840636	 6.22
 13756	044.2690635988	+04.5010300228	 6.15
 13768	044.3037559153	-29.8552887310	 6.29
 13775	044.3220106593	+31.9342186568	 5.10
 13782	044.3490248904	-23.8621637380	 5.44
 13789	044.3859470414	-38.1909247208	 6.41
 13832	044.5097000755	+38.6149256733	 6.06
 13834	044.5217564570	+20.6687332562	 5.80
 13835	044.5238906246	-23.6060120125	 5.82
 13847	044.5653111929	-40.3046724203	 2.88
 13874	044.6753201507	-02.7828768578	 5.22
 13879	044.6902920516	+39.6627285393	 4.68
 13883	044.6970922978	-09.7765057825	 6.14
 13884	044.6991526777	-64.0712840692	 4.98
 13905	044.7653191466	+35.1831282714	 4.94
 13907	044.7770599635	-28.9072126985	 6.14
 13914	044.8030237024	+21.3404288499	 4.63
 13942	044.9007614465	-25.2741327141	 5.69
 13947	044.9096028194	-32.5071979365	 6.32
 13949	044.9161641031	+41.0329406922	 5.89
 13951	044.9214990564	-02.4649515442	 5.56
 13954	044.9287573733	+08.9073648461	 4.71
 13965	044.9574699489	+47.2206930729	 5.47
 13997	045.0495574231	+38.1317402778	 6.11
 14036	045.1839228010	+10.8703884074	 5.93
 14040	045.2119989332	-02.8786179651	 6.11
 14043	045.2175576716	+52.3517442420	 5.24
 14060	045.2917672567	-07.6630115330	 5.75
 14086	045.4068226235	-28.0915538397	 5.88
 14104	045.4679304403	+05.3361515062	 6.24
 14109	045.4755890470	+26.4623538526	 5.91
 14110	045.4838290762	-09.9614066866	 5.84
 14124	045.5386483413	-06.4945434123	 6.20
 14131	045.5643681987	-71.9024567025	 5.51
 14135	045.5698840119	+04.0897339594	 2.54
 14143	045.5938245377	+04.3528841283	 5.62
 14146	045.5979174642	-23.6244716573	 4.08
 14168	045.6761449766	-07.6854717785	 5.32
 14187	045.7327618959	-46.9750363780	 5.81
 14232	045.8756558423	+28.2699058732	 6.38
 14240	045.9034143625	-59.7377752277	 5.12
 14264	045.9864279332	+47.8484797307	 6.48
 14293	046.0688155910	-07.6008570240	 5.26
 14315	046.1586117813	+01.8636039472	 6.05
 14318	046.1693527018	+15.8560226147	 6.37
 14328	046.1991280234	+53.5064401260	 2.91
 14354	046.2941391182	+38.8402738578	 3.32
 14355	046.2970692328	-08.2742473857	 6.30
 14365	046.3375425541	+40.5821806629	 6.06
 14376	046.3612078028	+25.2551745114	 5.45
 14382	046.3850474399	+56.7057190653	 4.77
 14392	046.4173641009	+56.0689655732	 6.10
 14417	046.5326754579	+79.4185352558	 5.49
 14439	046.5986899270	+13.1872502828	 5.64
 14456	046.6395512837	-06.0885546901	 5.23
 14502	046.8291610610	+64.0575940508	 5.89
 14514	046.8569691211	+17.8799949642	 6.13
 14521	046.8839263846	-78.9892444967	 5.67
 14544	046.9472648152	+47.3087095687	 6.38
 14547	046.9539051083	-69.2649200384	 6.12
 14551	046.9618676801	-27.8311510964	 6.18
 14566	047.0160535494	+52.2135114629	 6.33
 14576	047.0422148519	+40.9556477000	 2.09
 14586	047.0879542854	+18.7950526401	 6.24
 14607	047.1616314250	+08.4710695083	 6.28
 14626	047.2257515078	+62.3845957453	 6.47
 14632	047.2667487132	+49.6132775247	 4.05
 14649	047.3338840520	+20.7611228623	 6.41
 14668	047.3740478484	+44.8575436980	 3.79
 14677	047.4030933927	+29.0770800780	 5.74
 14719	047.5368313231	+27.8197657304	 6.42
 14748	047.6126894420	+26.8962332669	 6.02
 14749	047.6135440326	-48.7341563682	 6.11
 14757	047.6474574614	-23.7385475952	 6.37
 14764	047.6616402486	+11.8726269436	 5.97
 14791	047.7530709133	+64.8962660704	 6.50
 14797	047.7720167040	-13.2642844253	 6.36
 14814	047.8197041004	-16.0249665964	 6.25
 14817	047.8224233577	+39.6115823680	 4.61
 14819	047.8282347072	-03.8115955087	 6.08
 14821	047.8413280488	+13.0478447639	 6.11
 14838	047.9073561268	+19.7266773772	 4.35
 14844	047.9278046988	+81.4707096489	 5.92
 14862	047.9844577508	+74.3936592418	 4.85
 14879	048.0188655617	-28.9876180941	 3.80
 14887	048.0398169899	+42.3759055615	 6.15
 14893	048.0593596410	+27.2569683836	 5.78
 14913	048.1072774928	-44.4196602934	 5.92
 14914	048.1100845913	+47.7258748971	 6.32
 14915	048.1098548632	+06.6608829175	 5.55
 14930	048.1381668760	-57.3215490559	 5.71
 14954	048.1934853048	-01.1961012073	 5.07
 14972	048.2562060582	-35.9436877775	 6.29
 15004	048.3494711128	+48.1769532671	 5.93
 15024	048.4081059923	-29.8041295419	 6.17
 15110	048.7254004751	+21.0444412126	 4.87
 15118	048.7357817002	+42.5036369928	 6.07
 15125	048.7511264998	-26.1004593346	 6.25
 15154	048.8351516489	+30.5566894176	 5.61
 15191	048.9464255739	+32.8567122692	 6.30
 15192	048.9498770747	+57.1406203589	 5.79
 15193	048.9528213549	+50.9558897113	 6.46
 15197	048.9584355942	-08.8197298611	 4.80
 15201	048.9902519902	-77.3884542826	 5.51
 15203	049.0035619127	-05.9187055457	 6.17
 15204	049.0077537224	+34.6885129717	 6.25
 15209	049.0185779375	+45.3461333430	 6.15
 15219	049.0508476573	+50.9376639204	 5.04
 15230	049.0905161374	-05.7304637386	 6.30
 15241	049.1466227955	+32.1840175737	 5.98
 15244	049.1490247836	-09.1546760540	 6.14
 15282	049.2977371186	+40.4829786754	 6.44
 15305	049.3608168062	-47.7516640299	 5.84
 15309	049.3813575252	+65.6583667922	 6.41
 15323	049.4168587407	+31.1270477887	 6.40
 15330	049.4423478937	-62.5753220265	 5.53
 15334	049.4406420057	+39.2833731640	 5.97
 15338	049.4473058997	+44.0250242772	 5.49
 15353	049.4961429977	-66.9268531722	 6.03
 15357	049.5108143577	-28.7970751799	 5.93
 15371	049.5534122586	-62.5063630139	 5.24
 15382	049.5920981094	-22.5111180126	 4.86
 15383	049.5934401029	-00.9302883173	 5.62
 15404	049.6572555443	+50.2221742530	 5.16
 15411	049.6714554710	-18.5597938410	 5.72
 15416	049.6826035720	+34.2226526028	 4.85
 15444	049.7818285825	+50.0949661241	 5.05
 15457	049.8404000200	+03.3701978796	 4.84
 15474	049.8791747126	-21.7578638361	 3.70
 15479	049.8954455390	-24.1229019250	 5.63
 15510	049.9818782777	-43.0697834355	 4.26
 15514	049.9824861696	+27.0711343575	 5.91
 15520	049.9969695823	+65.6522923644	 4.74
 15547	050.0823275972	+77.7347405162	 5.44
 15549	050.0848366638	+29.0484584403	 4.47
 15557	050.1065575758	+25.6627394606	 6.14
 15585	050.1883494266	-26.6065060061	 6.40
 15619	050.2783473334	+03.6756203129	 5.70
 15627	050.3067687493	+21.1470861012	 5.27
 15643	050.3500420544	-23.6351352504	 5.50
